word,period1,period2,cosine_distance,cosine_similarity,occ1,occ2,degree
exposant,1770-1780,1789-1802,0.950088,0.049912,321,194,
sortira,1700-1710,1710-1720,0.945343,0.054657,84,132,
l'avenir,1780-1789,1789-1802,0.920749,0.079251,3801,3842,
feurs,1710-1720,1780-1789,0.917525,0.082475,214,604,
rançon,1710-1720,1789-1802,0.902784,0.097216,120,186,
guéres,1770-1780,1780-1789,0.901798,0.098202,183,77,
aiant,1750-1760,1789-1802,0.895293,0.104707,313,102,
rappel,1730-1740,1770-1780,0.89025,0.10975,172,553,
altesse,1710-1720,1730-1740,0.882639,0.117361,406,488,
l'étranger,1710-1720,1760-1770,0.875388,0.124612,86,1719,
d'égard,1760-1770,1780-1789,0.873961,0.126039,124,178,
apris,1780-1789,1789-1802,0.870399,0.129601,247,269,
venois,1710-1720,1720-1730,0.86095,0.13905,97,189,
l'impuissance,1710-1720,1760-1770,0.858522,0.141478,60,234,
guere,1730-1740,1770-1780,0.853482,0.146518,193,2332,
quelqu'une,1710-1720,1770-1780,0.851389,0.148611,148,394,
d'amis,1710-1720,1780-1789,0.844922,0.155078,120,548,
sçais,1700-1710,1789-1802,0.843504,0.156496,101,79,
obli,1700-1710,1780-1789,0.840664,0.159336,210,471,
vuider,1730-1740,1789-1802,0.836198,0.163802,114,173,
dignement,1730-1740,1760-1770,0.833866,0.166134,177,192,
d'en,1710-1720,1740-1750,0.828749,0.171251,7563,10661,
supposons,1700-1710,1730-1740,0.815034,0.184966,132,213,
d'etat,1740-1750,1789-1802,0.810814,0.189186,1548,1832,
s'informer,1710-1720,1770-1780,0.81065,0.18935,86,282,
paier,1760-1770,1789-1802,0.808333,0.191667,139,94,
d'exprimer,1700-1710,1720-1730,0.802121,0.197879,75,51,
l'aumône,1720-1730,1750-1760,0.799422,0.200578,59,144,
secrette,1740-1750,1789-1802,0.799176,0.200824,251,382,
s'ef,1700-1710,1720-1730,0.798174,0.201826,59,126,
coûter,1720-1730,1770-1780,0.79431,0.20569,63,397,
d'application,1760-1770,1789-1802,0.793614,0.206386,153,137,
consistent,1710-1720,1770-1780,0.791223,0.208777,52,233,
impatient,1710-1720,1780-1789,0.791042,0.208958,103,356,
d'épée,1700-1710,1750-1760,0.790358,0.209642,59,112,
comptoit,1700-1710,1720-1730,0.789996,0.210004,113,192,
l'est,1730-1740,1789-1802,0.788942,0.211058,1158,4373,
répéter,1700-1710,1710-1720,0.788005,0.211995,67,125,
pour,1750-1760,1789-1802,0.785566,0.214434,296485,527281,
l'immortalité,1710-1720,1760-1770,0.784345,0.215655,100,440,
protestation,1710-1720,1760-1770,0.783702,0.216298,67,86,
dépendoit,1710-1720,1780-1789,0.782273,0.217727,71,427,
meure,1710-1720,1720-1730,0.782146,0.217854,223,213,
sonner,1730-1740,1750-1760,0.781791,0.218209,185,172,
gueres,1780-1789,1789-1802,0.779367,0.220633,1311,295,
relâcher,1710-1720,1730-1740,0.776182,0.223818,91,182,
qu'étant,1720-1730,1780-1789,0.774087,0.225913,442,908,
reliefs,1730-1740,1740-1750,0.772688,0.227312,65,103,
foye,1750-1760,1789-1802,0.772319,0.227681,1046,67,
fruitiers,1710-1720,1760-1770,0.772261,0.227739,402,329,
estre,1740-1750,1789-1802,0.771332,0.228668,2396,136,
sçavoir,1720-1730,1789-1802,0.770758,0.229242,2875,339,
l'oblige,1710-1720,1740-1750,0.770684,0.229316,61,92,
regretter,1700-1710,1750-1760,0.770047,0.229953,51,331,
teinte,1740-1750,1760-1770,0.76966,0.23034,127,474,
défendoit,1710-1720,1770-1780,0.769438,0.230562,80,420,
languir,1720-1730,1760-1770,0.767184,0.232816,81,343,
senat,1760-1770,1789-1802,0.76698,0.23302,56,63,
d'orléans,1720-1730,1770-1780,0.76692,0.23308,1253,1968,
défenses,1710-1720,1789-1802,0.766886,0.233114,3710,480,
convint,1700-1710,1789-1802,0.766694,0.233306,63,426,
infideles,1720-1730,1789-1802,0.765758,0.234242,63,83,
souviens,1770-1780,1780-1789,0.764722,0.235278,615,743,
enleva,1710-1720,1740-1750,0.764004,0.235996,80,202,
