word,period1,period2,occ1,occ2,degree,score_word2vec,score_camembert,score_dalembert
veau,1720-1730,1789-1802,4686,1418,5692,0.9987,0.9974,0.9826
vivant,1750-1760,1760-1770,1464,1840,5712,0.9964,0.0089,0.0404
propos,1740-1750,1789-1802,4733,7478,5718,0.9909,0.8525,0.7711
exprès,1710-1720,1789-1802,771,1203,5696,0.983,0.1721,0.1722
garde,1760-1770,1789-1802,7550,14711,5717,0.9752,0.6788,0.801
passant,1750-1760,1780-1789,1016,2511,5710,0.9708,0.256,0.2974
ajoutez,1720-1730,1740-1750,270,340,5691,0.9707,0.0248,0.2275
oubli,1700-1710,1720-1730,78,105,5702,0.9685,0.0162,0.2663
vent,1730-1740,1750-1760,2993,3932,5715,0.9657,0.0747,0.2595
généraux,1740-1750,1789-1802,3176,11426,5712,0.958,0.7668,0.6841
pouvoir,1710-1720,1770-1780,5488,24279,5718,0.9555,0.2339,0.3572
trompe,1710-1720,1740-1750,752,1065,5709,0.9538,0.285,0.7419
prudent,1760-1770,1789-1802,620,1099,5699,0.946,0.1277,0.0167
revenant,1710-1720,1730-1740,226,653,5694,0.943,0.9823,0.9667
communes,1760-1770,1789-1802,2240,5192,5709,0.9422,0.8578,0.9296
étrangères,1780-1789,1789-1802,2047,3333,5708,0.9372,0.4776,0.1521
entiere,1740-1750,1789-1802,1293,1584,5694,0.935,0.6768,0.121
vivement,1750-1760,1770-1780,1507,3023,5710,0.9337,0.1847,0.4219
contenu,1710-1720,1789-1802,1091,876,5697,0.9282,0.9656,0.9721
nouveaux,1710-1720,1720-1730,2218,2070,5718,0.9262,0.0965,0.1599
quartier,1710-1720,1720-1730,1539,2090,5700,0.9195,0.2042,0.1028
favori,1750-1760,1789-1802,631,910,5691,0.9144,0.0094,0.0009
composer,1730-1740,1750-1760,503,683,5704,0.908,0.0837,0.0475
logement,1710-1720,1730-1740,289,314,5675,0.9077,0.0233,0.0477
cadet,1740-1750,1760-1770,168,1292,5667,0.8973,0.9599,0.9715
cour,1700-1710,1710-1720,5404,10201,5717,0.8966,0.7058,0.6154
tournois,1720-1730,1780-1789,970,1825,5674,0.8949,0.5425,0.9096
nullement,1710-1720,1780-1789,555,1864,5707,0.8946,0.1731,0.1178
course,1760-1770,1780-1789,790,1536,5702,0.89,0.0169,0.0295
pareillement,1750-1760,1770-1780,1517,2393,5687,0.8894,0.6821,0.5455
convertir,1710-1720,1750-1760,212,352,5685,0.8889,0.1458,0.2659
consul,1730-1740,1740-1750,407,485,5671,0.8882,0.2191,0.3871
quelconques,1730-1740,1760-1770,295,585,5641,0.8857,0.7728,0.8844
romaine,1710-1720,1730-1740,551,3180,5706,0.8833,0.5957,0.8436
https,1780-1789,1789-1802,733,1554,27,0.8822,0.8658,0.9735
allant,1730-1740,1760-1770,598,3778,5700,0.8821,0.9303,0.9682
témoin,1710-1720,1770-1780,758,2692,5711,0.8806,0.6378,0.9634
oeuvre,1760-1770,1789-1802,1085,1126,5700,0.8805,0.6719,0.6725
icelle,1730-1740,1789-1802,320,453,5656,0.8804,0.8391,0.965
argument,1730-1740,1789-1802,558,640,5695,0.8798,0.3525,0.4776
pareil,1730-1740,1750-1760,1794,2576,5717,0.8795,0.307,0.3812
logis,1720-1730,1789-1802,717,1009,5680,0.8785,0.7002,0.78
repos,1720-1730,1740-1750,1495,3224,5716,0.8784,0.2529,0.18
divin,1720-1730,1730-1740,907,916,5705,0.8759,0.2009,0.6473
miens,1710-1720,1780-1789,259,1130,5684,0.8753,0.6782,0.6354
toit,1760-1770,1770-1780,3603,4921,5703,0.8748,0.0001,0.0121
livre,1710-1720,1760-1770,6655,16042,5718,0.8739,0.3408,0.6782
nier,1710-1720,1720-1730,536,647,5706,0.8702,0.0013,0.0181
hautes,1720-1730,1789-1802,841,1548,5698,0.869,0.7087,0.5832
voulons,1700-1710,1710-1720,547,2228,5706,0.8672,0.8859,0.8947
vons,1750-1760,1780-1789,443,785,5672,0.8668,0.0731,0.7227
prévôt,1710-1720,1770-1780,711,655,5672,0.8666,0.9986,0.8049
table,1740-1750,1770-1780,4003,8649,5720,0.8651,0.0159,0.0133
pratique,1710-1720,1760-1770,1292,5008,5708,0.8635,0.7066,0.0768
atteint,1770-1780,1780-1789,1095,1315,5700,0.8589,0.0349,0.0359
innocent,1700-1710,1720-1730,380,395,5700,0.8578,0.0116,0.0582
mariages,1750-1760,1770-1780,514,1539,5689,0.8573,0.107,0.0937
verront,1710-1720,1740-1750,632,515,5692,0.8533,0.1204,0.3442
découverte,1730-1740,1740-1750,779,1523,5705,0.8489,0.1064,0.2289
sacrifices,1760-1770,1789-1802,785,2412,5701,0.8441,0.7457,0.4836
chef,1710-1720,1789-1802,1974,11201,5713,0.8438,0.2766,0.4833
arrivant,1740-1750,1770-1780,911,707,5688,0.84,0.7879,0.4399
